Emily Bronte;Wuthering Heights;1847;Fiction;35000
George Orwell;Nineteen Eighty-Four;1949;Dystopian;25000
John Green;The Fault in Our Stars;2012;Fiction;50000
Stephenie Meyer;Twilight;2005;Fiction;30000
John Green;Paper Towns;2008;Mystery;45000
Veronica Roth;Divergent;2011;Dystopian;25000
John Green;Looking for Alaska;2005;Fiction;35800
Veronica Roth;Allegiant;2013;Dystopian;25000
Aravind Adiga;The White Tiger;2008;Picaresque;50000
Aravind Adiga;Amnesty;2020;Psychological;30000
R. K. Narayan;The Guide;1958;Philosophical;45000
Preeti Shenoy;Life is What You Make it;2011;Fiction;48000
R. K. Narayan;The English Teacher;1945;Autobiographical;53500
Sidney Sheldon;If Tomorrow Comes;1985;Mystery;60000
Paulo Coelho;The Alchemist;1988;Fantasy;80000
Sidney Sheldon;Bloodline;1977;Thriller;45000
Robin Sharma;Who Will Cry When you Die?;1999;Personality Development;70500
Paulo Coelho;The Spy;2016;Thriller;25000
Arundhati Roy;The God of Small Things;1997;Psychological;15000
Robin Sharma;The Monk Who Sold His Ferrari;1996;Fiction;65500
Vikram Seth;The Golden Gate;1986;Fiction;35000
Vikram Seth;A Suitable Boy;1993;Fiction;52400
